,date,type,source,mean,std
15590,2021-07-18,9,2,9073.341148748159,6047.274145462577
15591,2021-07-18,9,3,9062.700069824537,6615.776768948418
15592,2021-07-18,9,4,14020.335268317853,9510.355676606097
15593,2021-07-18,9,6,7255.453280669042,5437.965416405582
15594,2021-07-18,9,7,8424.762851600388,8787.713694264296
15595,2021-07-18,9,9,6656.51256281407,5211.542955491802
15596,2021-07-18,9,13,5414.407024510475,8485.150594373168
15597,2021-07-18,9,19,9345.635135135135,6568.774518027628
15598,2021-07-18,9,48,6989.358490566037,5056.484363456452
15626,2021-07-19,9,2,9732.230080260557,5806.556279696639
15627,2021-07-19,9,3,8668.782542285317,5494.205086248471
15628,2021-07-19,9,4,12665.971889640812,8028.261781469333
15629,2021-07-19,9,6,7474.185921494171,4952.227343147411
15630,2021-07-19,9,7,9888.200385356455,8304.353478926512
15631,2021-07-19,9,9,6775.163396178017,4761.20712649799
15632,2021-07-19,9,13,5934.01530371469,8211.464658554838
15633,2021-07-19,9,19,9815.644295302014,7059.686062304395
15634,2021-07-19,9,48,7316.72380952381,4688.634034095395
15662,2021-07-20,9,2,9824.736200238101,5743.121045841333
15663,2021-07-20,9,3,8972.557233828622,5576.153589339587
15664,2021-07-20,9,4,13027.561672292912,7958.811743994292
15665,2021-07-20,9,6,7551.005851575722,4962.691012774352
15666,2021-07-20,9,7,9808.446788111218,8370.79292880187
15667,2021-07-20,9,9,6894.336707238949,4836.624067806718
15668,2021-07-20,9,13,5996.487808172915,8456.160047962567
15669,2021-07-20,9,19,9255.450331125829,6459.83618645627
15670,2021-07-20,9,48,6901.688073394495,4333.326706612984
15698,2021-07-21,9,2,9772.796681942107,5791.571275582023
15699,2021-07-21,9,3,8868.627808800537,5575.550503876512
15700,2021-07-21,9,4,12993.106288403713,8052.926406483286
15701,2021-07-21,9,6,7551.333252053246,5245.03222478655
15702,2021-07-21,9,7,10036.819011041767,8771.59467582427
15703,2021-07-21,9,9,6872.209346991037,4829.367504033519
15704,2021-07-21,9,13,6039.488909736649,8080.952620920035
15705,2021-07-21,9,19,8961.346666666666,6933.622844140534
15706,2021-07-21,9,48,6573.008771929824,4367.839786227565
15734,2021-07-22,9,2,9783.422276408604,5743.639466862985
15735,2021-07-22,9,3,8834.103868515205,5539.791581603505
15736,2021-07-22,9,4,12990.161214341795,8116.515403736684
15737,2021-07-22,9,6,7535.413901001964,4906.73526063543
15738,2021-07-22,9,7,9841.94881699662,8305.577495723923
15739,2021-07-22,9,9,6830.236146741919,4748.559981933578
15740,2021-07-22,9,13,5955.981063843777,8402.417183154046
15741,2021-07-22,9,19,8540.549668874171,5493.087044262988
15742,2021-07-22,9,48,6410.419642857143,4703.216770837227
15770,2021-07-23,9,2,10106.179470813508,5860.425128196608
15771,2021-07-23,9,3,9031.47529050354,5654.607767067341
15772,2021-07-23,9,4,13311.99161315686,8325.894467601902
15773,2021-07-23,9,6,7862.494724905782,4994.013792419871
15774,2021-07-23,9,7,9953.4158224795,8256.005930795158
15775,2021-07-23,9,9,7096.041763042919,4872.483921025415
15776,2021-07-23,9,13,6289.704181553527,9061.231250267236
15777,2021-07-23,9,19,9190.432258064517,7041.066363323023
15778,2021-07-23,9,48,7285.982300884956,5057.734693697051
15806,2021-07-24,9,2,9863.954466672541,6080.089502275623
15807,2021-07-24,9,3,9272.015462411508,6342.468679369867
15808,2021-07-24,9,4,13597.635929414888,8873.977180654982
15809,2021-07-24,9,6,7834.6242062342635,5242.985183683057
15810,2021-07-24,9,7,9171.02532878714,8366.489490234022
15811,2021-07-24,9,9,7144.304055799535,5194.704059460272
15812,2021-07-24,9,13,6111.234974145457,8718.90399601893
15813,2021-07-24,9,19,9652.02564102564,6078.445603456282
15814,2021-07-24,9,48,7034.387931034483,4547.410381594747
15842,2021-07-25,9,2,8688.978803287411,5918.553200421312
15843,2021-07-25,9,3,8906.033598168597,6630.548956296868
15844,2021-07-25,9,4,12869.147078049418,8748.246790268531
15845,2021-07-25,9,6,6943.625008370349,5346.947392277181
15846,2021-07-25,9,7,8088.6156496062995,8398.311739115605
15847,2021-07-25,9,9,6378.9082188229195,5168.221226525997
15848,2021-07-25,9,13,5089.034325556449,8735.91467886034
15849,2021-07-25,9,19,8746.166666666666,6762.904502798963
15850,2021-07-25,9,48,6055.596491228071,4420.441340075618
15878,2021-07-26,9,2,9382.306197371872,5672.541324301505
15879,2021-07-26,9,3,8440.174553431527,5366.097078197202
15880,2021-07-26,9,4,11912.61499735029,7507.530611492304
15881,2021-07-26,9,6,7232.114051451615,4798.123514314588
15882,2021-07-26,9,7,9447.824370991613,8084.624197105792
15883,2021-07-26,9,9,6553.505600617999,4643.337561962572
15884,2021-07-26,9,13,5834.98818345684,8356.13850119473
15885,2021-07-26,9,19,8853.733766233767,5888.36797639111
15886,2021-07-26,9,48,6708.963636363636,4495.865443983914
15914,2021-07-27,9,2,9459.601441483333,5761.015394041564
15915,2021-07-27,9,3,8745.25760847786,5542.018729915103
15916,2021-07-27,9,4,12411.345556570534,7821.131798824712
15917,2021-07-27,9,6,7344.833006971097,4887.361363333371
15918,2021-07-27,9,7,9671.626302729528,8329.90373868347
15919,2021-07-27,9,9,6668.909945890235,4821.236587265699
15920,2021-07-27,9,13,5914.569612631297,9103.599933582527
15921,2021-07-27,9,19,8395.751633986929,5593.270259970136
15922,2021-07-27,9,48,6370.5046728971965,4651.324330330165
15950,2021-07-28,9,2,9436.100137054209,5761.845330759864
15951,2021-07-28,9,3,8626.192193466271,5446.525939486076
15952,2021-07-28,9,4,12100.48323912186,7512.639874836547
15953,2021-07-28,9,6,7303.959575803776,4784.725922392941
15954,2021-07-28,9,7,9479.87132169576,8044.758517828869
15955,2021-07-28,9,9,6588.167699457785,4705.182059900071
15956,2021-07-28,9,13,5842.170117439414,8505.001325308262
15957,2021-07-28,9,19,8078.114649681529,5616.256263977689
15958,2021-07-28,9,48,7149.027272727273,4876.087109010894
15986,2021-07-29,9,2,9826.562303298753,5882.923909885295
15987,2021-07-29,9,3,8903.301987580404,5620.3654364753
15988,2021-07-29,9,4,12820.075980711586,8056.590157792184
15989,2021-07-29,9,6,7622.034647295916,4979.264750773067
15990,2021-07-29,9,7,10017.52518703242,8326.672571187933
15991,2021-07-29,9,9,6971.874756651525,4870.968238848488
15992,2021-07-29,9,13,6066.508115882474,8871.393428500334
15993,2021-07-29,9,19,8881.0,5829.77415191512
15994,2021-07-29,9,48,7157.693693693694,4647.339844749492
16022,2021-07-30,9,2,10041.369271290605,5828.695958990859
16023,2021-07-30,9,3,8960.658966484178,5626.703541268727
16024,2021-07-30,9,4,13129.639603184964,8354.352430196495
16025,2021-07-30,9,6,7815.63689444907,4982.470697615134
16026,2021-07-30,9,7,9969.149,8091.32147992185
16027,2021-07-30,9,9,7087.92784180199,4768.547699064179
16028,2021-07-30,9,13,6193.162455873192,7843.361465525794
16029,2021-07-30,9,19,9109.25,6141.966865410986
16030,2021-07-30,9,48,7764.743119266055,4922.213781163448
16058,2021-07-31,9,2,10061.214262532087,6180.794937857964
16059,2021-07-31,9,3,9517.2445891806,6504.127700722161
16060,2021-07-31,9,4,13726.375360041897,9076.85441168071
16061,2021-07-31,9,6,8064.44148360323,7307.541422097696
16062,2021-07-31,9,7,9747.26714068055,9015.655555040697
16063,2021-07-31,9,9,7352.856992084433,5458.350154888962
16064,2021-07-31,9,13,6311.041455583304,8704.35020091773
16065,2021-07-31,9,19,9144.625806451613,6383.055869698568
16066,2021-07-31,9,48,6723.709090909091,4725.642004528323
16094,2021-08-01,9,2,8448.6998752821,5850.434966492095
16095,2021-08-01,9,3,8614.60594268748,6448.863303123005
16096,2021-08-01,9,4,12043.735371293624,8446.932330372434
16097,2021-08-01,9,6,6753.899124145335,5241.825115740054
16098,2021-08-01,9,7,8036.423135464232,8451.09016057004
16099,2021-08-01,9,9,6172.84263348053,5063.388871564816
16100,2021-08-01,9,13,5026.538788990826,8823.59717372104
16101,2021-08-01,9,19,7838.051612903226,6053.110173831267
