,date,type,source,mean,std
8733,2021-01-11,65,7,62.833333333333336,10.040653122127434
8734,2021-01-11,65,9,61.45283018867924,8.288850306748849
8735,2021-01-11,65,13,73.07692307692308,12.18700442779426
8767,2021-01-12,65,2,63.95997371735202,7.5794626534912
8768,2021-01-12,65,3,56.80273948700052,8.652998672214231
8769,2021-01-12,65,6,60.14168751421424,8.390540836436276
8770,2021-01-12,65,7,62.52917232021709,9.738260965069585
8771,2021-01-12,65,9,61.53503184713376,9.347650645757634
8772,2021-01-12,65,13,72.31468531468532,10.654245718815364
8804,2021-01-13,65,2,63.99791518077577,7.602433460982977
8805,2021-01-13,65,3,57.058190548946854,8.68497028082996
8806,2021-01-13,65,6,60.23155564683599,8.363358452309425
8807,2021-01-13,65,7,62.96707818930041,10.265380438381337
8808,2021-01-13,65,9,60.71612903225807,8.17324971430174
8809,2021-01-13,65,13,75.08843537414965,14.90376672535073
8841,2021-01-14,65,2,64.04137420486948,7.626775885585665
8842,2021-01-14,65,3,57.099113072352324,8.62171736690521
8843,2021-01-14,65,6,60.2411016561442,8.335299794196878
8844,2021-01-14,65,7,62.27132867132867,9.070326094416382
8845,2021-01-14,65,9,62.01960784313726,9.22202069151197
8846,2021-01-14,65,13,71.84,10.481098359370165
8878,2021-01-15,65,2,63.995896221218466,7.607682883854512
8879,2021-01-15,65,3,57.02612029714833,8.536442371824016
8880,2021-01-15,65,6,59.934766663610525,8.232750016065431
8881,2021-01-15,65,7,62.7617728531856,9.844211245680428
8882,2021-01-15,65,9,61.857142857142854,8.915476110994538
8883,2021-01-15,65,13,72.73154362416108,11.282988194672749
8915,2021-01-16,65,2,64.02206294097883,7.5584217008908725
8916,2021-01-16,65,3,57.78199721763325,8.779795723652162
8917,2021-01-16,65,6,60.17134171618074,8.413858116083654
8918,2021-01-16,65,7,62.796875,10.11751387193469
8919,2021-01-16,65,9,61.394904458598724,8.897390831733098
8920,2021-01-16,65,13,74.2482269503546,11.644837009451745
8952,2021-01-17,65,2,64.05060711556423,7.548247518612951
8953,2021-01-17,65,3,57.81103337389188,8.960971754263744
8954,2021-01-17,65,6,60.09637020232418,8.428864851706216
8955,2021-01-17,65,7,62.89882697947214,10.26163027450925
8956,2021-01-17,65,9,62.63742690058479,9.207899571383468
8957,2021-01-17,65,13,74.49295774647888,12.440922224643172
8989,2021-01-18,65,2,63.93478440329105,7.544094263485254
8990,2021-01-18,65,3,56.60893964538388,8.579514471624924
8991,2021-01-18,65,6,59.859626380240286,8.346303927970892
8992,2021-01-18,65,7,62.46403385049366,9.20745927517126
8993,2021-01-18,65,9,61.13855421686747,9.365252752017103
8994,2021-01-18,65,13,73.0,11.30966386467901
9026,2021-01-19,65,2,63.855678883455134,7.580743541543737
9027,2021-01-19,65,3,56.69192956392554,8.621607021883559
9028,2021-01-19,65,6,60.08247924685804,8.380971714017623
9029,2021-01-19,65,7,62.403156384505024,8.852861172664054
9030,2021-01-19,65,9,61.14545454545455,8.934213864889962
9031,2021-01-19,65,13,72.47972972972973,10.5272368441446
9063,2021-01-20,65,2,63.98082357136978,7.6093250056674675
9064,2021-01-20,65,3,57.268936188678424,8.67325437379222
9065,2021-01-20,65,6,60.60714866339968,8.453198585381154
9066,2021-01-20,65,7,63.28388017118402,9.559625504166272
9067,2021-01-20,65,9,61.741176470588236,8.747142141816791
9068,2021-01-20,65,13,74.21084337349397,14.003380648523438
9100,2021-01-21,65,2,64.15354774809475,7.615173467883747
9101,2021-01-21,65,3,57.38996323769333,8.67829315040143
9102,2021-01-21,65,6,60.64776536312849,8.422965264711037
9103,2021-01-21,65,7,63.684438040345825,9.806342142743246
9104,2021-01-21,65,9,61.641176470588235,9.102022587083294
9105,2021-01-21,65,13,74.31901840490798,12.138961617617058
9137,2021-01-22,65,2,64.25964109490862,7.6299081886353335
9138,2021-01-22,65,3,57.484407303431915,8.64237929425612
9139,2021-01-22,65,6,60.433056927233764,8.303151020634584
9140,2021-01-22,65,7,63.185238784370476,9.200369355818227
9141,2021-01-22,65,9,61.17058823529412,8.319099341462104
9142,2021-01-22,65,13,75.03105590062111,14.17983707604236
9174,2021-01-23,65,2,64.34397710373467,7.608751331592407
9175,2021-01-23,65,3,58.06222648000174,8.84996601985117
9176,2021-01-23,65,6,60.52776542718742,8.461303719672303
9177,2021-01-23,65,7,63.75338345864662,9.797771052705405
9178,2021-01-23,65,9,62.42690058479532,9.953963519567571
9179,2021-01-23,65,13,73.13836477987421,11.64369660918958
9211,2021-01-24,65,2,64.33471015927802,7.593132583189371
9212,2021-01-24,65,3,57.90389090671828,8.921897219051305
9213,2021-01-24,65,6,60.1870611717741,8.341489658087957
9214,2021-01-24,65,7,62.79251170046802,9.244373631444885
9215,2021-01-24,65,9,61.559322033898304,9.186089755292828
9216,2021-01-24,65,13,74.10144927536231,11.311314569948443
9248,2021-01-25,65,2,64.1648965593539,7.596265316779907
9249,2021-01-25,65,3,56.74456747253707,8.629273871258347
9250,2021-01-25,65,6,60.016035875281744,8.39899521095065
9251,2021-01-25,65,7,62.63111111111111,9.438002185956343
9252,2021-01-25,65,9,61.19886363636363,8.858906663506918
9253,2021-01-25,65,13,74.12162162162163,13.595169913300168
9285,2021-01-26,65,2,64.04618556701031,7.611354045394215
9286,2021-01-26,65,3,56.75906526994359,8.671070449377837
9287,2021-01-26,65,6,60.00964177633894,8.34038822018754
9288,2021-01-26,65,7,62.95827123695976,9.549934093281596
9289,2021-01-26,65,9,61.35227272727273,8.28567062236592
9290,2021-01-26,65,13,74.88028169014085,13.30732342199875
9322,2021-01-27,65,2,64.05680152650646,7.630014906909513
9323,2021-01-27,65,3,56.96277736443608,8.592983757445461
9324,2021-01-27,65,6,60.18811694583834,8.364509052529774
9325,2021-01-27,65,7,62.82753403933434,9.448612121948733
9326,2021-01-27,65,9,61.672413793103445,8.876912831787932
9327,2021-01-27,65,13,75.94776119402985,14.705795064664008
9359,2021-01-28,65,2,64.13327608177738,7.62293909548778
9360,2021-01-28,65,3,57.082076094128,8.618505938698425
9361,2021-01-28,65,6,60.31593121043183,8.334982965544901
9362,2021-01-28,65,7,62.745007680491554,9.218181972848893
9363,2021-01-28,65,9,62.234939759036145,9.325701646979184
9364,2021-01-28,65,13,75.5925925925926,11.563127382766911
9396,2021-01-29,65,2,64.21502691304589,7.645933322275854
9397,2021-01-29,65,3,57.32751226164031,8.668199676477407
9398,2021-01-29,65,6,60.377744097378454,8.343044663500077
9399,2021-01-29,65,7,63.123308270676695,9.263047515792309
9400,2021-01-29,65,9,61.49079754601227,8.413956731438097
9401,2021-01-29,65,13,75.60606060606061,11.345885743035172
9433,2021-01-30,65,2,64.3410539976302,7.623626323791269
9434,2021-01-30,65,3,57.92008097522334,8.72649127638042
9435,2021-01-30,65,6,60.49612495245341,8.49502787623207
9436,2021-01-30,65,7,63.10216718266254,10.823263558452577
9437,2021-01-30,65,9,61.89156626506024,8.06565791066953
9438,2021-01-30,65,13,74.76470588235294,12.111356956190393
9470,2021-01-31,65,2,64.34220110396632,7.59128324936595
9471,2021-01-31,65,3,57.88822891827444,8.960282808194822
9472,2021-01-31,65,6,60.23836028761855,8.364229517942087
9473,2021-01-31,65,7,62.74921630094044,9.623352239892618
9474,2021-01-31,65,9,62.19298245614035,9.601663942483942
9475,2021-01-31,65,13,74.98529411764706,13.974042228687816
9507,2021-02-01,65,2,64.24377461039322,7.601172296945157
9508,2021-02-01,65,3,56.75458367266084,8.553833452669322
9509,2021-02-01,65,6,60.04225150044236,8.409367629679581
9510,2021-02-01,65,7,62.89127105666156,9.707476108667072
9511,2021-02-01,65,9,61.54385964912281,8.462519807130032
9512,2021-02-01,65,13,73.8,10.957039582748182
9544,2021-02-02,65,2,64.14185066015754,7.61322051555788
9545,2021-02-02,65,3,56.9156131064351,8.651145705092004
9546,2021-02-02,65,6,60.242045236726085,8.4136967224096
9547,2021-02-02,65,7,62.586989409984874,9.227285633654091
9548,2021-02-02,65,9,62.17751479289941,8.36541724552602
9549,2021-02-02,65,13,74.96323529411765,13.384572704885828
9581,2021-02-03,65,2,64.22388059701493,7.6364351452689085
9582,2021-02-03,65,3,57.251892105957936,8.666605708372042
9583,2021-02-03,65,6,60.553406203557216,8.427412091728415
9584,2021-02-03,65,7,63.40179910044977,9.238280282834213
9585,2021-02-03,65,9,63.09580838323353,9.492059797113454
9586,2021-02-03,65,13,75.0495867768595,14.68948106620824
9618,2021-02-04,65,2,64.29711351651402,7.656715038548866
9619,2021-02-04,65,3,57.40513300535505,8.721970826432543
9620,2021-02-04,65,6,60.46450620991184,8.376541161925775
9621,2021-02-04,65,7,62.897014925373135,9.66029071953971
9622,2021-02-04,65,9,62.08433734939759,8.313850902617885
9623,2021-02-04,65,13,74.81954887218045,13.089340207499733
9655,2021-02-05,65,2,64.31746957826304,7.651214614405128
9656,2021-02-05,65,3,57.27547169811321,8.63062353955176
9657,2021-02-05,65,6,60.15311454094532,8.257657530383257
9658,2021-02-05,65,7,63.1578947368421,9.768126574016708
9659,2021-02-05,65,9,61.38181818181818,8.804428436229793
9660,2021-02-05,65,13,75.344,14.648078152043944
9692,2021-02-06,65,2,64.38912667592619,7.617354940667078
9693,2021-02-06,65,3,57.96949465223025,8.863423667070927
9694,2021-02-06,65,6,60.33061007444648,8.430194886014974
9695,2021-02-06,65,7,63.036923076923074,9.771591307524318
9696,2021-02-06,65,9,63.05357142857143,9.961157454191895
9697,2021-02-06,65,13,73.7984496124031,11.010208221351647
9729,2021-02-07,65,2,64.38331938955082,7.583238464187101
9730,2021-02-07,65,3,57.84317809190411,8.89227052039946
9731,2021-02-07,65,6,60.259684466019415,8.459076517617769
9732,2021-02-07,65,7,63.006410256410255,9.582452391461686
9733,2021-02-07,65,9,62.39393939393939,8.599983671068566
9734,2021-02-07,65,13,75.25688073394495,12.41743373449034
9766,2021-02-08,65,2,64.30402703463812,7.595885555727448
9767,2021-02-08,65,3,56.949418835904005,8.661948451472444
9768,2021-02-08,65,6,60.333398081825905,8.54019631858234
9769,2021-02-08,65,7,63.37042682926829,10.386205346368227
9770,2021-02-08,65,9,61.06875,8.369698171635386
9771,2021-02-08,65,13,75.66917293233082,13.722753613434126
9803,2021-02-09,65,2,64.24279453901904,7.619524555087313
9804,2021-02-09,65,3,56.857992973210365,8.694892015479299
9805,2021-02-09,65,6,60.21687245805022,8.454142294619727
9806,2021-02-09,65,7,63.08761329305136,9.668399047135418
9807,2021-02-09,65,9,61.79874213836478,9.914686634785687
9808,2021-02-09,65,13,75.42068965517241,10.370677791466
9840,2021-02-10,65,2,64.2687273034372,7.643882378590708
9841,2021-02-10,65,3,57.06101023440079,8.661408915058296
9842,2021-02-10,65,6,60.339015290072425,8.441210590008971
9843,2021-02-10,65,7,62.907120743034056,9.406613807578868
9844,2021-02-10,65,9,61.84153005464481,9.167070898321938
9845,2021-02-10,65,13,75.91608391608392,14.038928023508296
9877,2021-02-11,65,2,64.28896953329395,7.664143157089264
9878,2021-02-11,65,3,57.129990776123336,8.570111415123403
9879,2021-02-11,65,6,60.288312069218364,8.347784443581622
9880,2021-02-11,65,7,62.82270606531882,9.524013631681681
9881,2021-02-11,65,9,62.28666666666667,9.811151028493136
9882,2021-02-11,65,13,73.43076923076923,10.507242582643592
9914,2021-02-12,65,2,64.2833272281552,7.641294074502568
9915,2021-02-12,65,3,57.19728294267404,8.602296721899757
9916,2021-02-12,65,6,60.02109436178544,8.206007912384358
9917,2021-02-12,65,7,63.0609375,10.05467241158964
9918,2021-02-12,65,9,62.201892744479494,9.526956901266345
9919,2021-02-12,65,13,74.93835616438356,12.755105862164795
9951,2021-02-13,65,2,64.34022889842632,7.600675951499723
9952,2021-02-13,65,3,57.85490890798941,8.757064506409893
9953,2021-02-13,65,6,60.30042960598993,8.410961662954566
9954,2021-02-13,65,7,62.99683544303797,10.230465802700847
9955,2021-02-13,65,9,62.15325670498084,10.058155223222434
9956,2021-02-13,65,13,74.35064935064935,12.348709264154715
9988,2021-02-14,65,2,64.33762344879214,7.5694101284740345
